Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T13:50:00+00:00;15.900002;412.238;240.84776;24.083768;1.433333;217.40448;0;1032.5
2018-01-01T13:12:00+00:00;16.7;613.95264;152.93164;32.68399;1.5666669999999998;208.17164;0;1033.05
2018-01-01T13:13:00+00:00;16.7;624.8554;165.60718;32.8362;1.383333;204.49298;0;1033.0
2018-01-01T13:47:00+00:00;15.8;298.16034;250.73912;20.384496;2.05;173.32632;0;1032.5
2018-01-01T13:52:00+00:00;16.0;428.0432;243.41532;24.495842;1.833333;176.8259;0;1032.5
2018-01-01T11:19:00+00:00;15.983334;517.76308;72.426432;27.025324;1.916667;159.49982;0;1034.2002
2018-01-01T12:15:00+00:00;16.300002;569.23088;67.963968;30.525056;1.5666669999999998;144.32626;0;1033.3
2018-01-01T11:54:00+00:00;16.216668;561.16676;72.008208;29.661578;2.733333;162.98808;0;1033.8
2018-01-01T12:21:00+00:00;16.416666;568.08568;66.358216;30.61802;2.116667;144.33728;0;1033.3
2018-01-01T11:43:00+00:00;16.45;546.31512;64.665924;29.01033;0.933333;163.15666;0;1034.0
2018-01-01T11:40:00+00:00;16.366668;545.98848;67.905944;28.822142;1.733333;150.6558;0;1034.0
2018-01-01T11:56:00+00:00;16.1;561.70556;69.911744;29.784248;1.633333;151.95754;0;1033.75
2018-01-01T12:08:00+00:00;16.1;565.6938;68.083864;30.26338;2.266667;181.49966;0;1033.5
2018-01-01T12:31:00+00:00;16.383334;549.35224;66.913468;30.087722;2.4;149.8472;0;1033.3668
2018-01-01T12:20:00+00:00;16.4;569.00384;67.274904;30.606696;1.966667;166.67458;0;1033.3
2018-01-01T11:17:00+00:00;16.116668;516.90956;67.896704;26.934066;2.366667;141.84968;0;1034.2002
2018-01-01T11:08:00+00:00;15.650002;503.65904;60.92734;26.267312;0.933333;147.47126;0;1034.2834
2018-01-01T10:44:00+00:00;15.633332;453.10988;55.897292;23.525476;1.483333;153.32532;0;1034.1
2018-01-01T11:07:00+00:00;15.533334;503.17836;60.961836;26.161868;1.15;137.12378;0;1034.2334
2018-01-01T10:32:00+00:00;15.6;427.1178;54.130052;21.992438;1.116667;131.67294;0;1034.2002
2018-01-01T11:04:00+00:00;15.5;499.87496;62.396224;25.823804;2.116667;145.33644;0;1034.15
2018-01-01T10:38:00+00:00;15.6;437.2722;57.610972;22.713674;1.583333;154.14842;0;1034.1168
2018-01-01T10:41:00+00:00;15.5;441.88552;57.13936;23.116678;1.383333;166.36604;0;1034.1
2018-01-01T11:13:00+00:00;16.1;510.97604;64.422064;26.667968;1.683333;113.32288;0;1034.3
2018-01-01T10:46:00+00:00;15.6;464.84864;58.806748;23.772606;1.933333;137.8376;0;1034.1
2018-01-01T16:46:00+00:00;15.583334;79.61252;37.982664;4.39753;1.5333329999999998;239.36658;0;1032.1
2018-01-01T17:10:00+00:00;14.900002;20.542839999999998;19.518488;1.997051;1.233334;287.1496;0;1032.1
2018-01-01T17:03:00+00:00;15.2;30.327764;25.099868;2.595682;1.05;241.06574;0;1032.0334
